,age,job,marital,education,default,housing,loan,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
48,54,admin.,married,university.degree,no,yes,no,aug,fri,91,2,3,1,success,-2.9,92.201,-31.4,0.849,5076.2,yes
49,28,admin.,single,university.degree,no,yes,no,sep,fri,91,1,1,3,success,-3.4,92.379,-29.8,0.773,5017.5,yes
50,40,unemployed,married,professional.course,no,no,yes,sep,fri,91,1,999,0,nonexistent,-3.4,92.379,-29.8,0.773,5017.5,yes
51,70,admin.,married,basic.4y,no,yes,yes,sep,tue,91,1,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,yes
52,58,services,married,high.school,no,no,no,mar,mon,92,2,3,1,success,-1.8,93.369,-34.8,0.635,5008.7,yes
53,29,services,single,high.school,no,yes,no,may,thu,93,1,999,0,nonexistent,-1.8,93.876,-40,0.699,5008.7,yes
54,39,admin.,married,university.degree,no,no,no,apr,wed,94,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
55,70,retired,married,professional.course,no,yes,no,aug,fri,94,4,999,0,nonexistent,-2.9,92.201,-31.4,0.869,5076.2,yes
56,29,self-employed,married,university.degree,no,yes,no,mar,wed,95,4,999,0,nonexistent,-1.8,92.843,-50,1.663,5099.1,yes
57,36,unemployed,married,university.degree,unknown,unknown,unknown,mar,fri,95,2,999,1,failure,-1.8,92.843,-50,1.531,5099.1,yes
58,50,admin.,married,university.degree,no,yes,no,jun,fri,95,7,999,1,failure,-2.9,92.963,-40.8,1.268,5076.2,yes
59,41,admin.,single,university.degree,no,yes,no,jun,mon,95,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
60,54,retired,married,professional.course,unknown,no,no,aug,tue,95,2,999,0,nonexistent,-2.9,92.201,-31.4,0.838,5076.2,yes
61,41,admin.,married,university.degree,no,yes,no,nov,tue,95,1,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,yes
62,28,student,single,basic.9y,no,yes,no,mar,tue,96,2,999,0,nonexistent,-1.8,92.843,-50,1.799,5099.1,yes
63,28,admin.,single,university.degree,no,no,yes,mar,wed,96,2,999,0,nonexistent,-1.8,92.843,-50,1.548,5099.1,yes
64,30,admin.,married,university.degree,no,yes,no,jun,thu,96,2,4,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes
65,32,technician,single,university.degree,no,no,no,oct,tue,96,1,999,1,failure,-3.4,92.431,-26.9,0.728,5017.5,yes
66,63,retired,married,high.school,no,yes,no,oct,wed,96,1,999,0,nonexistent,-3.4,92.431,-26.9,0.724,5017.5,yes
67,38,admin.,married,high.school,no,yes,no,oct,fri,97,1,999,0,nonexistent,-0.1,93.798,-40.4,4.918,5195.8,yes
68,24,admin.,single,professional.course,no,yes,no,apr,mon,97,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
69,28,unemployed,single,high.school,no,no,no,apr,mon,97,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,yes
70,32,admin.,single,university.degree,no,yes,no,jul,wed,97,3,999,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,yes
71,24,admin.,single,university.degree,no,yes,yes,oct,thu,97,1,999,0,nonexistent,-3.4,92.431,-26.9,0.733,5017.5,yes
72,53,management,married,university.degree,no,yes,no,aug,tue,97,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,yes
73,48,admin.,married,university.degree,no,no,no,oct,wed,98,1,999,0,nonexistent,-0.1,93.798,-40.4,4.936,5195.8,yes
74,30,student,married,university.degree,no,no,no,aug,mon,98,2,3,2,success,-2.9,92.201,-31.4,0.821,5076.2,yes
75,60,retired,married,basic.4y,no,no,no,oct,mon,98,1,999,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,yes
76,24,unemployed,married,high.school,no,yes,no,nov,mon,98,1,999,1,failure,-3.4,92.649,-30.1,0.715,5017.5,yes
77,27,admin.,married,university.degree,no,no,yes,jul,tue,99,6,999,1,failure,-2.9,92.469,-33.6,0.908,5076.2,yes
78,67,retired,married,basic.4y,no,yes,no,nov,thu,99,1,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,yes
79,47,housemaid,single,professional.course,no,yes,no,apr,tue,100,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
80,42,technician,married,professional.course,no,yes,no,aug,fri,100,2,999,0,nonexistent,-2.9,92.201,-31.4,0.869,5076.2,yes
81,36,admin.,single,university.degree,no,yes,no,sep,fri,100,2,999,0,nonexistent,-3.4,92.379,-29.8,0.773,5017.5,yes
82,32,admin.,married,high.school,no,no,no,oct,tue,101,1,999,0,nonexistent,-0.1,93.798,-40.4,4.968,5195.8,yes
83,88,retired,divorced,basic.4y,no,yes,no,mar,wed,101,7,999,0,nonexistent,-1.8,92.843,-50,1.663,5099.1,yes
84,88,retired,divorced,basic.4y,no,yes,no,mar,wed,101,1,999,0,nonexistent,-1.8,92.843,-50,1.663,5099.1,yes
85,30,student,single,unknown,no,no,no,mar,thu,101,1,14,1,success,-1.8,93.369,-34.8,0.635,5008.7,yes
86,68,retired,married,basic.4y,no,yes,no,oct,tue,102,1,6,2,success,-3.4,92.431,-26.9,0.728,5017.5,yes
87,71,retired,married,professional.course,no,yes,no,nov,tue,102,1,999,0,nonexistent,-3.4,92.649,-30.1,0.72,5017.5,yes
88,42,admin.,married,high.school,no,yes,yes,oct,fri,103,1,999,0,nonexistent,-0.1,93.798,-40.4,5.045,5195.8,yes
89,32,admin.,married,university.degree,no,yes,no,jun,mon,103,1,999,1,failure,-2.9,92.963,-40.8,1.266,5076.2,yes
90,31,blue-collar,single,basic.9y,no,yes,yes,jun,tue,103,1,3,2,success,-2.9,92.963,-40.8,1.262,5076.2,yes
91,25,technician,single,basic.9y,no,yes,no,jun,fri,103,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes
92,34,entrepreneur,married,university.degree,no,yes,no,apr,fri,104,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
93,64,retired,married,basic.4y,no,yes,no,apr,wed,104,1,999,2,failure,-1.8,93.075,-47.1,1.405,5099.1,yes
94,23,blue-collar,single,high.school,no,no,no,jul,fri,104,2,999,0,nonexistent,-2.9,92.469,-33.6,1.007,5076.2,yes
95,51,self-employed,single,basic.9y,no,yes,no,nov,thu,104,1,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,yes
96,27,services,single,university.degree,no,yes,no,mar,mon,104,1,6,1,success,-1.8,93.369,-34.8,0.652,5008.7,yes
97,62,technician,married,unknown,no,no,no,mar,mon,104,2,3,2,success,-1.8,93.369,-34.8,0.646,5008.7,yes
98,42,management,single,university.degree,no,yes,no,oct,mon,105,1,999,0,nonexistent,-3.4,92.431,-26.9,0.743,5017.5,yes
99,40,technician,single,university.degree,no,no,no,nov,mon,105,2,3,1,success,-3.4,92.649,-30.1,0.714,5017.5,yes
100,38,technician,married,professional.course,no,no,no,mar,thu,106,1,999,0,nonexistent,-1.8,92.843,-50,1.757,5099.1,yes
101,32,management,single,university.degree,no,yes,no,mar,tue,106,1,999,0,nonexistent,-1.8,92.843,-50,1.687,5099.1,yes
102,65,retired,married,basic.4y,no,unknown,unknown,apr,tue,106,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
103,24,admin.,single,university.degree,no,no,no,sep,tue,106,1,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,yes
104,61,technician,married,professional.course,no,no,no,oct,thu,106,2,999,1,failure,-3.4,92.431,-26.9,0.722,5017.5,yes
105,30,admin.,single,university.degree,no,no,no,nov,mon,106,1,999,0,nonexistent,-3.4,92.649,-30.1,0.722,5017.5,yes
106,55,admin.,married,high.school,no,yes,no,mar,wed,106,2,999,1,failure,-1.8,93.369,-34.8,0.651,5008.7,yes
107,28,blue-collar,single,university.degree,no,no,no,apr,tue,107,3,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
108,38,admin.,married,university.degree,no,yes,no,apr,fri,107,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
109,34,management,married,university.degree,no,yes,yes,apr,mon,107,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
110,60,technician,married,professional.course,no,no,no,apr,wed,107,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
111,27,student,single,basic.9y,no,yes,yes,jun,tue,107,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
112,53,retired,single,basic.4y,no,yes,no,jun,mon,107,3,999,0,nonexistent,-2.9,92.963,-40.8,1.281,5076.2,yes
113,29,admin.,single,high.school,no,yes,no,sep,tue,107,2,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,yes
114,29,blue-collar,single,basic.9y,no,no,yes,oct,wed,107,2,999,0,nonexistent,-3.4,92.431,-26.9,0.735,5017.5,yes
115,27,admin.,single,high.school,no,yes,no,apr,fri,108,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
116,56,retired,married,university.degree,no,no,no,may,wed,108,2,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,yes
117,39,self-employed,divorced,high.school,no,no,no,sep,tue,108,2,3,1,success,-3.4,92.379,-29.8,0.788,5017.5,yes
118,75,retired,married,basic.4y,no,no,no,apr,tue,109,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,yes
119,32,unemployed,single,university.degree,no,no,no,apr,wed,110,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,yes
120,56,self-employed,married,university.degree,no,no,no,apr,tue,110,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
121,58,blue-collar,married,basic.4y,no,yes,no,jun,wed,110,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
122,25,admin.,married,unknown,no,no,no,nov,thu,110,1,999,1,failure,-3.4,92.649,-30.1,0.714,5017.5,yes
123,47,self-employed,married,professional.course,no,yes,no,mar,tue,110,1,999,0,nonexistent,-1.8,93.369,-34.8,0.635,5008.7,yes
124,38,admin.,single,university.degree,no,yes,no,mar,mon,111,2,999,0,nonexistent,-1.8,92.843,-50,1.811,5099.1,yes
125,30,admin.,married,university.degree,no,yes,yes,apr,tue,111,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
126,57,admin.,married,high.school,no,yes,no,apr,tue,111,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
127,35,admin.,divorced,high.school,no,yes,yes,apr,thu,111,1,999,0,nonexistent,-1.8,93.749,-34.6,0.635,5008.7,yes
128,39,blue-collar,married,basic.9y,no,yes,no,oct,fri,112,1,999,0,nonexistent,-0.1,93.798,-40.4,4.918,5195.8,yes
129,30,technician,single,university.degree,no,unknown,unknown,apr,mon,112,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
130,57,management,married,unknown,no,no,no,jun,mon,112,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
131,33,student,married,professional.course,no,yes,no,nov,thu,112,1,999,0,nonexistent,-1.1,94.767,-50.8,1.031,4963.6,yes
132,21,student,single,high.school,no,no,no,oct,tue,113,1,999,0,nonexistent,-3.4,92.431,-26.9,0.728,5017.5,yes
133,22,student,single,professional.course,no,no,no,nov,mon,113,3,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes
134,47,services,divorced,unknown,no,yes,no,aug,tue,113,2,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,yes
135,36,admin.,married,high.school,no,yes,no,nov,wed,114,1,999,1,failure,-0.1,93.2,-42,4.286,5195.8,yes
136,25,admin.,single,professional.course,no,yes,no,apr,wed,114,1,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,yes
137,29,technician,single,basic.9y,no,yes,no,apr,mon,114,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
138,29,admin.,single,university.degree,no,no,no,jun,mon,114,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,yes
139,55,management,married,university.degree,no,yes,no,jun,tue,114,3,999,0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,yes
140,31,blue-collar,married,basic.9y,no,yes,no,nov,fri,115,1,999,0,nonexistent,-0.1,93.2,-42,4.474,5195.8,yes
141,54,admin.,married,university.degree,no,yes,no,mar,mon,115,1,999,0,nonexistent,-1.8,92.843,-50,1.56,5099.1,yes
142,50,management,married,basic.9y,no,no,no,mar,wed,115,1,999,0,nonexistent,-1.8,92.843,-50,1.548,5099.1,yes
143,40,blue-collar,divorced,professional.course,no,no,no,jun,wed,115,2,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes
144,25,admin.,single,university.degree,no,yes,yes,oct,fri,115,1,999,1,failure,-3.4,92.431,-26.9,0.739,5017.5,yes
145,34,blue-collar,married,high.school,no,yes,no,mar,fri,115,1,999,0,nonexistent,-1.8,93.369,-34.8,0.653,5008.7,yes
146,51,retired,divorced,high.school,no,no,no,jul,wed,115,3,999,0,nonexistent,-1.7,94.215,-40.3,0.896,4991.6,yes
147,30,management,married,university.degree,no,no,no,mar,mon,116,1,999,0,nonexistent,-1.8,92.843,-50,1.811,5099.1,yes
148,32,management,single,university.degree,no,yes,no,mar,mon,116,1,999,0,nonexistent,-1.8,92.843,-50,1.703,5099.1,yes
149,26,student,single,high.school,no,yes,no,apr,thu,116,4,999,0,nonexistent,-1.8,93.075,-47.1,1.406,5099.1,yes
150,31,blue-collar,married,basic.4y,no,no,no,may,wed,116,1,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,yes
151,62,admin.,married,university.degree,no,yes,no,aug,fri,116,1,999,0,nonexistent,-2.9,92.201,-31.4,0.849,5076.2,yes
152,35,admin.,married,high.school,no,yes,no,mar,thu,117,2,999,0,nonexistent,-1.8,92.843,-50,1.538,5099.1,yes
153,54,housemaid,married,unknown,no,yes,no,apr,fri,117,1,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,yes
154,25,student,single,high.school,no,yes,no,apr,wed,117,1,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,yes
155,40,management,divorced,university.degree,no,yes,no,jun,wed,117,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
156,61,retired,married,high.school,no,yes,no,sep,wed,117,1,3,1,success,-3.4,92.379,-29.8,0.753,5017.5,yes
157,31,admin.,married,university.degree,no,no,no,apr,wed,118,3,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,yes
158,27,student,single,university.degree,no,no,yes,nov,mon,118,1,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes
159,48,admin.,single,university.degree,no,yes,no,aug,wed,118,1,0,2,success,-1.7,94.027,-38.3,0.9,4991.6,yes
160,44,blue-collar,married,basic.4y,no,yes,yes,dec,mon,119,1,999,0,nonexistent,-0.2,92.756,-45.9,3.053,5176.3,yes
161,26,management,single,university.degree,no,yes,no,mar,thu,119,1,999,0,nonexistent,-1.8,92.843,-50,1.65,5099.1,yes
162,36,admin.,married,high.school,no,no,no,may,mon,119,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,yes
163,26,self-employed,single,university.degree,no,no,no,may,wed,119,1,3,1,success,-1.8,92.893,-46.2,1.27,5099.1,yes
164,24,unknown,single,university.degree,no,no,no,jun,tue,119,1,3,2,success,-2.9,92.963,-40.8,1.262,5076.2,yes
165,28,technician,single,university.degree,no,yes,no,mar,mon,120,3,999,0,nonexistent,-1.8,92.843,-50,1.811,5099.1,yes
166,25,admin.,single,university.degree,no,no,yes,apr,mon,120,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
167,35,admin.,divorced,university.degree,no,yes,yes,apr,mon,121,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
168,34,admin.,divorced,high.school,no,yes,no,apr,tue,121,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
169,35,admin.,married,university.degree,no,no,no,jun,thu,121,4,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
170,34,technician,married,professional.course,no,yes,yes,sep,wed,121,3,999,0,nonexistent,-3.4,92.379,-29.8,0.813,5017.5,yes
171,34,admin.,single,high.school,no,yes,no,nov,mon,121,2,999,1,failure,-3.4,92.649,-30.1,0.722,5017.5,yes
172,38,technician,married,university.degree,no,yes,no,mar,tue,122,1,999,0,nonexistent,-1.8,92.843,-50,1.687,5099.1,yes
173,23,management,single,university.degree,no,yes,no,apr,mon,122,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,yes
174,29,admin.,single,university.degree,no,no,no,nov,fri,122,1,3,2,success,-3.4,92.649,-30.1,0.714,5017.5,yes
175,29,student,single,professional.course,no,yes,yes,nov,thu,123,1,7,1,success,-3.4,92.649,-30.1,0.714,5017.5,yes
176,65,retired,married,university.degree,no,no,no,apr,wed,124,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
177,38,admin.,married,university.degree,no,unknown,unknown,apr,mon,124,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,yes
178,69,retired,married,basic.4y,no,yes,no,oct,thu,124,1,999,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,yes
179,59,blue-collar,married,basic.4y,no,yes,no,mar,mon,124,2,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7,yes
180,31,admin.,single,university.degree,no,yes,no,oct,tue,125,1,999,0,nonexistent,-0.1,93.798,-40.4,4.86,5195.8,yes
181,34,unemployed,single,university.degree,no,yes,no,apr,tue,125,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
182,27,management,single,university.degree,no,yes,no,jul,mon,125,2,999,0,nonexistent,-2.9,92.469,-33.6,0.944,5076.2,yes
183,80,retired,married,illiterate,unknown,yes,yes,aug,tue,125,1,6,1,success,-2.9,92.201,-31.4,0.883,5076.2,yes
184,71,retired,married,basic.4y,no,yes,no,aug,fri,125,1,999,0,nonexistent,-2.9,92.201,-31.4,0.869,5076.2,yes
185,39,technician,single,university.degree,unknown,no,yes,oct,fri,125,1,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,yes
186,82,retired,divorced,basic.4y,no,yes,yes,apr,mon,125,2,999,0,nonexistent,-1.8,93.749,-34.6,0.643,5008.7,yes
187,88,retired,divorced,basic.4y,no,yes,no,mar,wed,126,1,999,0,nonexistent,-1.8,92.843,-50,1.663,5099.1,yes
188,19,student,single,basic.9y,no,yes,no,mar,fri,126,4,999,0,nonexistent,-1.8,92.843,-50,1.64,5099.1,yes
189,36,technician,single,professional.course,no,yes,no,jun,fri,126,2,3,1,success,-2.9,92.963,-40.8,1.268,5076.2,yes
190,22,self-employed,single,university.degree,no,yes,yes,jun,fri,126,6,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes
191,79,housemaid,married,basic.4y,no,no,no,aug,fri,126,1,3,2,success,-2.9,92.201,-31.4,0.849,5076.2,yes
192,27,admin.,single,university.degree,no,yes,no,sep,tue,126,2,999,0,nonexistent,-3.4,92.379,-29.8,0.77,5017.5,yes
193,38,admin.,married,university.degree,no,no,no,nov,thu,126,1,7,4,failure,-3.4,92.649,-30.1,0.714,5017.5,yes
194,24,admin.,single,university.degree,no,yes,no,apr,thu,127,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes
195,71,management,married,university.degree,no,yes,no,oct,thu,127,3,999,2,failure,-3.4,92.431,-26.9,0.733,5017.5,yes
196,42,retired,divorced,illiterate,no,no,no,aug,wed,128,3,999,0,nonexistent,-2.9,92.201,-31.4,0.834,5076.2,yes
197,37,blue-collar,married,basic.6y,no,no,no,oct,thu,128,2,6,3,failure,-3.4,92.431,-26.9,0.74,5017.5,yes
198,23,student,single,high.school,no,no,no,mar,wed,128,1,999,0,nonexistent,-1.8,93.369,-34.8,0.644,5008.7,yes
199,27,admin.,single,unknown,no,no,no,mar,tue,128,1,3,1,success,-1.8,93.369,-34.8,0.637,5008.7,yes
200,41,admin.,divorced,university.degree,no,no,no,jul,mon,128,2,999,0,nonexistent,-1.7,94.215,-40.3,0.793,4991.6,yes
201,58,retired,divorced,university.degree,no,yes,no,apr,wed,129,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,yes
202,85,retired,married,basic.4y,unknown,yes,no,apr,tue,129,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
203,37,technician,married,professional.course,no,no,no,jun,mon,129,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
204,41,management,married,unknown,no,no,yes,nov,fri,129,2,3,2,success,-3.4,92.649,-30.1,0.714,5017.5,yes
205,34,entrepreneur,married,university.degree,no,yes,yes,apr,fri,130,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
206,29,admin.,single,high.school,no,no,no,aug,fri,130,1,999,0,nonexistent,-2.9,92.201,-31.4,0.881,5076.2,yes
207,58,retired,married,high.school,no,no,no,aug,tue,130,2,999,0,nonexistent,-2.9,92.201,-31.4,0.838,5076.2,yes
208,33,admin.,married,university.degree,no,no,no,oct,fri,130,1,6,1,success,-3.4,92.431,-26.9,0.739,5017.5,yes
209,64,admin.,married,high.school,no,yes,no,oct,fri,130,1,999,1,failure,-3.4,92.431,-26.9,0.73,5017.5,yes
